plant_id,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source
26660,38.927,40.586,42.428,42.228,41.134,37.666,38.456,U.S. Energy Information Administration
26661,67.577,65.39,60.539,80.964,107.722,73.916,85.841,U.S. Energy Information Administration
26662,83.609,86.439,77.098,104.792,138.29,92.72,108.585,U.S. Energy Information Administration
26663,2445.715018,2973.345035,2199.70303,0,0,1719.120039,1851.608993,U.S. Energy Information Administration
26664,12.087,10.486,9.479,8.116,11.396,7.3,7.77,U.S. Energy Information Administration
26665,0,0,0,0,0,3.561,264.64,U.S. Energy Information Administration
26666,0,0,0,0,0,0,39.534,U.S. Energy Information Administration
26667,14.246,14.355,12.373,15.439,16.85,16.197,13.331,U.S. Energy Information Administration
26668,226.935,224.986,354.249,356.633,366.361,367.474,357.955,U.S. Energy Information Administration
26669,0,155.288,602.427,605.854,607.761,613.866,592.151,U.S. Energy Information Administration
26670,0,0,0,42.979,249.015,263.829,265.977,U.S. Energy Information Administration
26671,0,0,0,0,0,0,3.686,U.S. Energy Information Administration
26672,0,0,0,0,11.229,153.604,154.754,U.S. Energy Information Administration
26673,-0.492,-0.223,-0.754,0.165,0.715,0.271,-0.716,U.S. Energy Information Administration
26674,9.583,8.317,8.592,11.855,10.144,11.56,9.717,U.S. Energy Information Administration
26675,26.587,22.464,20.437,28.31,25.885,26.476,25.544,U.S. Energy Information Administration
26676,12.552,13.236,13.012,14.093,12.553,12.579,11.167,U.S. Energy Information Administration
26677,0,0,0,0,0,0,1.051,U.S. Energy Information Administration
26678,0,0,0,2.022,1.929,1.887,1.919,U.S. Energy Information Administration
26679,0,0,0,0,0,0,6.916,U.S. Energy Information Administration
26680,19.83465,51.228,52.42,51.179,50.896,50.546,44.698,U.S. Energy Information Administration
26681,0,0,34.502,50.862,50.255,50.282,48.951,U.S. Energy Information Administration
26682,0,0,0,53.413,52.105,52.557,49.755,U.S. Energy Information Administration
26683,465.545,408.363,372.857,379.995,403.695,427.495,495.386,U.S. Energy Information Administration
26684,53.351,58.537,11.125,45.91,79.77,79.066,1675.878,U.S. Energy Information Administration
26685,0,0,0,0,0.036,0,0,U.S. Energy Information Administration
26686,0,0,0,0,0,0,0,U.S. Energy Information Administration
26687,0,0,0,0,0,0,0,U.S. Energy Information Administration
