plant_id,name,gppd_idnr,capacity_mw,fuel_id,commissioning_year,wepp_id,,owner,source,geolocation_source,year_of_capacity_data
539,Kwinana,AUS0000194,21,4,,1033283,,Verve Energy,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
540,Kwinana (Alcoa Refinery),AUS0000190,74.5,4,,1014018,,Alcoa of Australia Ltd,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
541,Kwinana Cogeneration,AUS0000193,123,4,,,,International Power Plc & Mitsui & Co Ltd & Transfield,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
542,Kwinana High Efficiency Gas Turbine Plant,AUS0000195,200,4,,,,Verve Energy,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
543,Kwinana NewGen,AUS0000196,320,4,,1067030,,Newgen Power Kwinana Partnership,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
544,Kwinana Swift,AUS0000197,120,4,,1085202,,Western Energy Pty Ltd,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
545,Ladbroke Grove,AUS0000244,80,4,,1045441,,Origin Energy,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
546,Lake Bonney Stage 1 Wind Farm,AUS0000483,80.5,#N/A,,,,Infigen Energy Pty Ltd,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
547,Lake Bonney Stage 2 Wind Farm,AUS0000062,159,#N/A,,1056888,,Infigen Energy Pty Ltd,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
548,Lake Bonney Stage 3 Wind Farm,AUS0000484,39,#N/A,,,,Infigen Energy Pty Ltd,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
549,Lake Cargelligo CSP,WKS0071027,3,11,,,,,Wiki-Solar,Wiki-Solar,
550,Lake Echo,AUS0000124,32.4,6,,1019018,,Hydro-Electric Corporation (Tasmania),Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
551,Lake Glenmaggie,AUS0000086,4,6,,,,Pacific Hydro Investments Pty Ltd,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
552,Lake Keepit,AUS0000304,6.5,6,,,,Country Energy,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
553,Lake William Hovell,AUS0000099,2,6,,,,Pacific Hydro Investments Pty Ltd,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
554,Lakeland QLD,WKS0064540,10.9,11,,,,,Wiki-Solar,Wiki-Solar,
555,Landfill Management Services Shoal Bay,AUS0000252,1.1,13,,1067357,,LMS Energy Generation Pty Ltd,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
556,Laverton,AUS0000371,1.5,8,,1066697,,Energy Developments,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
557,Laverton (Granny Smith Gold Mine),AUS0000219,30.6,8,,,,Barrick Gold of Australia,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
558,Laverton North,AUS0000090,312,4,,1053207,,Snowy Hydro Ltd,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
559,Leichhardt,AUS0000460,60,4,,1095884,,APA Group and AGL Energy Ltd,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
